ID,school_name,road_name,postal_code,facilities,Longitude,Latitude
89,Kranji Secondary School,61 Choa Chu Kang Street 51,689333,Chargeable Field,103.7410911,1.390040385
90,Loyang Primary School,3 Pasir Ris Drive 6,519419,Free To Play Field,103.955816,1.371169319
91,Macpherson Secondary School,121 Circuit Road,379499,Chargeable Field,103.8884284,1.327379821
92,Marsiling Secondary School,12 Marsiling Road,739110,Chargeable Field,103.7760081,1.436644245
93,Mayflower Secondary School,2 Ang Mo Kio Street 21,569384,Chargeable Field,103.8353607,1.368272659
94,Meridian Primary School,20 Pasir Ris Street 71,518798,Free To Play Field,103.9348891,1.375528307
95,Meridian Junior College,21 Pasir Ris Street 71,518799,Chargeable Field,103.9369929,1.376333798
96,Nan Hua High School,41 Clementi Avenue 1,129956,"Chargeable Field, Indoor Sports Hall",103.7685612,1.308094994
97,Naval Base Secondary School,901 Yishun Ring Road,768689,"Chargeable Field, Indoor Sports Hall",103.8310441,1.419245292
98,New Town Primary School,300 Tanglin Halt Road,148812,Free To Play Field,103.7999648,1.299811392
99,North View Primary School,210 Yishun Avenue 6,768960,Free To Play Field,103.8481908,1.42752327
100,North View Secondary School,530 Yishun Ring Road,768680,Chargeable Field,103.8446626,1.427702517
101,North Vista Secondary School,11 Rivervale Link,545081,Chargeable Field,103.8989269,1.381252008
102,Northbrooks Secondary School,585 Yishun Ring Road,768692,Chargeable Field,103.8450603,1.42088102
103,Northland Primary School,15 Yishun Avenue 4,769026,Free To Play Field,103.8407929,1.42130404
104,Northland Secondary School,3 Yishun Street 22,768578,Indoor Sports Hall,103.8401047,1.435739617
105,Orchid Park Secondary School,10 Yishun Street 81,768454,Chargeable Field,103.8378592,1.415320322
106,Park View Primary School,"60, Pasir Ris Drive 1",519524,Free To Play Field,103.9395417,1.377380698
107,Pasir Ris Crest Secondary School,11 Pasir Ris Street 41,518934,"Chargeable Field, Indoor Sports Hall",103.9593626,1.372343905
108,Pasir Ris Primary School,5 Pasir Ris Street 21,518968,Free To Play Field,103.9628072,1.372418697
109,Pasir Ris Secondary School,390 Tampines Street 21,529400,"Chargeable Field, Indoor Sports Hall",103.9486147,1.354639562
110,Peicai Secondary School,10 Serangoon Avenue 4,556094,Indoor Sports Hall,103.8700108,1.359515823
111,Eunos Primary School,95 Jalan Eunos,419529,Free To Play Field,103.9043035,1.324417081
